classlabel,Height_mean,Height_std,Height_min,Height_max,Height_median,Height_range,Height_rate_mean,Height_rate_std,Resultant_acceleration_mean,Resultant_acceleration_std,Resultant_acceleration_min,Resultant_acceleration_max,Resultant_acceleration_median,Resultant_acceleration_range,Resultant_acceleration_rate_mean,Resultant_acceleration_rate_std,Resultant_velocity_mean,Resultant_velocity_std,Resultant_velocity_min,Resultant_velocity_max,Resultant_velocity_median,Resultant_velocity_range,Resultant_velocity_rate_mean,Resultant_velocity_rate_std,AGC_mean,AGC_std,AGC_min,AGC_max,AGC_median,AGC_range,AGC_rate_mean,AGC_rate_std
1,1096.6438,68.29191919663702,984.68,1214.37,1092.67,229.68999999999994,4.687551020408162,0.9600606498959078,0.22514000000000003,0.034037044525046536,0.169,0.276,0.2285,0.10700000000000001,0.0021836734693877554,0.03200042950565569,222.317,9.441747560700826,205.87,238.06,222.305,32.19,0.6569387755102041,0.22121375830586634,48.66,1.7505427729707148,46,51,49.0,5,0.061224489795918366,2.5185691051387558
1,1218.7254,72.22222852308006,1095.31,1342.4,1216.995,247.09000000000015,5.042653061224493,0.8915562534708006,0.25695999999999997,0.024123813960483114,0.202,0.302,0.2595,0.09999999999999998,0.0011224489795918365,0.030574520973811012,238.296,9.20183286090331,222.47,253.78,238.55,31.310000000000002,0.6389795918367347,0.24430029111028032,48.82,1.7514565367145143,46,51,49.0,5,-0.02040816326530612,2.1522631270587307
1,1345.7848,74.73190754262868,1219.62,1474.68,1345.4850000000001,255.06000000000017,5.205306122448983,0.8653466971619211,0.25916,0.021618843632349994,0.22,0.302,0.258,0.08199999999999999,-0.0005306122448979591,0.029792549432131055,254.89520000000005,10.005262463323987,239.04,271.53,254.3,32.48999999999998,0.6630612244897955,0.24925361300992735,48.6,1.9078784028338915,46,51,49.0,5,-0.061224489795918366,2.5587637581481597
1,1474.1518000000003,74.10630779333158,1348.57,1599.24,1476.8000000000002,250.67000000000007,5.115714285714287,0.8207612195954853,0.2415,0.025883006007803654,0.19,0.29,0.2425,0.09999999999999998,-0.0018775510204081627,0.028334469275152128,272.2384,9.987023852980428,254.82,289.54,271.655,34.72000000000003,0.7085714285714291,0.23357033638888777,48.58,1.8664404624846729,46,51,49.0,5,-0.04081632653061224,2.457468281386183
1,1602.0329999999997,73.66377807986773,1478.92,1723.95,1601.915,245.02999999999997,5.000612244897958,0.8435479207158226,0.21268,0.03204024968691724,0.145,0.275,0.2075,0.13000000000000003,-0.0016734693877551018,0.03003833452481301,289.13439999999997,9.600081907983911,271.78,304.41,289.69500000000005,32.63000000000005,0.6659183673469399,0.23858356143097678,48.84,1.7590906741836816,46,51,49.0,5,0.0,2.482592456711824
1,1724.1770000000001,67.61113364675968,1604.59,1839.03,1725.99,234.44000000000005,4.784489795918368,0.8859862744237907,0.17154,0.033070960070732756,0.105,0.238,0.17099999999999999,0.133,-0.0018979591836734697,0.030034160753408767,305.8494,9.65802017185717,289.85,322.25,304.82000000000005,32.39999999999998,0.6612244897959179,0.23542954796139956,48.42,1.6981166037701885,46,51,48.0,5,0.0,2.5634797778466227
1,1838.1458000000002,64.1694944062987,1728.03,1945.29,1841.19,217.26,4.433877551020408,0.7872784854025104,0.13166,0.030119501987914736,0.076,0.195,0.1375,0.11900000000000001,-0.00173469387755102,0.03672833278257974,322.1584,9.218335719640502,305.23,337.25,322.405,32.01999999999998,0.6534693877551017,0.24455332893980677,48.32,1.5157836257197133,46,51,48.0,5,-0.02040816326530612,2.4116197953832565
1,1946.4198,60.63981828765651,1843.35,2051.53,1946.925,208.1800000000003,4.248571428571434,0.7797880402744722,0.11105999999999999,0.024321521333995535,0.068,0.157,0.1105,0.089,0.0002653061224489807,0.040257221692209175,337.522,8.647879508873839,322.56,352.14,337.495,29.579999999999984,0.6036734693877548,0.2526568526964806,48.56,1.6267759526130203,46,51,48.0,5,0.08163265306122448,2.4313994852539067
1,2050.359,59.221790457567245,1948.56,2145.42,2053.755,196.86000000000013,4.017551020408166,0.9211694665871947,0.11319999999999998,0.023253386850091318,0.068,0.155,0.1125,0.087,-0.0007551020408163263,0.03181741957253752,352.51920000000007,8.853908705199077,337.74,367.65,352.34000000000003,29.909999999999968,0.6104081632653054,0.242419430618755,48.52,1.7348198753761153,46,51,48.5,5,0.04081632653061224,2.586930918774012
1,2146.0454,51.454831112734226,2055.98,2232.96,2147.545,176.98000000000002,3.611836734693878,0.9631637355651412,0.13416,0.030557722428217714,0.077,0.193,0.137,0.116,0.001795918367346939,0.02940774546857267,367.6204,8.957676252243102,352.54,383.08,367.835,30.539999999999964,0.6232653061224482,0.21314350588853812,48.3,1.711724276862369,46,51,48.0,5,0.08163265306122448,2.709294167392015
