Time,Height,Resultant_acceleration,Resultant_velocity,AGC,classlabel
0.1,904.2,0.149,200.65,46,2
0.2,907.44,0.128,201.54,49,2
0.3,910.92,0.174,202.34,48,2
0.4,915.89,0.173,203.04,45,2
0.5,918.49,0.157,204.03,49,2
0.6,921.58,0.138,204.77,46,2
0.7,926.54,0.157,205.74,45,2
0.8,931.73,0.137,206.83,47,2
0.9,935.59,0.17,207.43,47,2
1.0,940.44,0.175,208.31,46,2
1.1,944.05,0.19,208.92,45,2
1.2,948.29,0.162,209.51,45,2
1.3,952.95,0.162,210.15,48,2
1.4,955.59,0.181,210.46,45,2
1.5,960.55,0.18,210.96,47,2
1.6,963.5,0.16,211.73,45,2
1.7,967.8,0.152,212.25,49,2
1.8,970.84,0.153,212.63,48,2
1.9,975.5,0.167,213.18,49,2
2.0,979.28,0.17,214.04,47,2
2.1,983.11,0.205,214.85,48,2
2.2,987.89,0.208,215.4,49,2
2.3,991.17,0.182,216.38,44,2
2.4,994.54,0.163,216.94,48,2
2.5,998.12,0.191,217.78,48,2
2.6,1003.5,0.211,218.48,45,2
2.7,1007.94,0.171,218.81,49,2
2.8,1010.69,0.175,219.78,48,2
2.9,1014.63,0.153,220.5,48,2
3.0,1019.11,0.217,220.97,44,2
3.1,1023.41,0.157,221.61,49,2
3.2,1026.27,0.178,222.63,47,2
3.3,1029.48,0.193,223.0,47,2
3.4,1032.29,0.195,223.77,48,2
3.5,1037.18,0.171,224.36,44,2
3.6,1040.06,0.168,225.11,46,2
3.7,1044.97,0.212,225.88,44,2
3.8,1048.98,0.169,226.36,47,2
3.9,1053.98,0.165,227.02,48,2
4.0,1059.05,0.206,227.74,45,2
4.1,1063.27,0.209,228.38,48,2
4.2,1066.86,0.182,229.46,45,2
4.3,1070.97,0.203,230.28,48,2
4.4,1075.64,0.173,230.74,46,2
4.5,1080.48,0.23,231.24,48,2
4.6,1083.84,0.203,231.58,46,2
4.7,1087.93,0.225,232.1,48,2
4.8,1091.63,0.208,232.46,49,2
4.9,1097.06,0.227,233.4,48,2
5.0,1102.07,0.219,234.37,49,2
5.1,1105.67,0.201,234.86,49,2
5.2,1109.23,0.187,235.52,47,2
5.3,1113.94,0.204,236.57,47,2
5.4,1117.72,0.208,236.88,45,2
5.5,1120.93,0.234,237.37,48,2
5.6,1123.93,0.198,238.24,48,2
5.7,1129.25,0.199,239.22,48,2
5.8,1132.21,0.206,239.61,49,2
5.9,1136.58,0.239,240.5,49,2
6.0,1140.31,0.203,241.2,48,2
6.1,1145.31,0.194,242.21,46,2
6.2,1150.37,0.223,243.3,45,2
6.3,1154.36,0.187,243.87,47,2
6.4,1158.76,0.222,244.86,49,2
6.5,1162.56,0.221,245.21,47,2
6.6,1168.07,0.208,245.73,48,2
6.7,1171.4,0.202,246.17,46,2
6.8,1175.82,0.243,246.54,49,2
6.9,1180.68,0.215,246.91,49,2
7.0,1185.7,0.19,247.84,44,2
7.1,1189.01,0.204,248.21,48,2
7.2,1193.92,0.227,248.7,44,2
7.3,1198.82,0.209,249.69,44,2
7.4,1202.41,0.231,250.41,49,2
7.5,1205.72,0.19,251.32,49,2
7.6,1210.66,0.22,251.73,47,2
7.7,1214.02,0.225,252.46,46,2
7.8,1217.77,0.18,252.94,44,2
7.9,1221.44,0.225,253.49,45,2
8.0,1226.92,0.202,254.57,44,2
8.1,1231.2,0.187,255.46,44,2
8.2,1236.05,0.19,256.45,45,2
8.3,1240.4,0.241,257.0,45,2
8.4,1244.85,0.207,257.57,49,2
8.5,1248.86,0.182,258.52,45,2
8.6,1252.83,0.209,258.86,44,2
8.7,1257.54,0.242,259.26,45,2
8.8,1263.09,0.208,259.65,49,2
8.9,1266.47,0.195,260.69,48,2
9.0,1269.88,0.21,261.71,47,2
9.1,1275.53,0.215,262.49,48,2
9.2,1278.93,0.206,263.49,45,2
9.3,1283.17,0.238,264.2,46,2
9.4,1286.54,0.19,265.15,46,2
9.5,1290.71,0.228,265.8,47,2
9.6,1296.19,0.23,266.23,44,2
9.7,1299.96,0.225,267.1,48,2
9.8,1303.82,0.183,268.05,46,2
9.9,1309.57,0.219,268.5,49,2
10.0,1314.76,0.203,269.53,45,2
10.1,1318.19,0.226,270.4,45,2
10.2,1322.38,0.219,271.3,47,2
10.3,1328.04,0.198,271.62,47,2
10.4,1332.3,0.235,272.6,45,2
10.5,1336.88,0.226,273.45,46,2
10.6,1340.28,0.229,274.41,49,2
10.7,1345.35,0.215,275.13,47,2
10.8,1351.01,0.229,275.56,48,2
10.9,1355.72,0.215,276.16,46,2
11.0,1361.08,0.177,276.67,49,2
11.1,1365.52,0.196,277.58,44,2
11.2,1370.46,0.205,278.51,45,2
11.3,1374.27,0.168,278.91,49,2
11.4,1379.1,0.215,279.93,49,2
11.5,1383.03,0.194,280.57,49,2
11.6,1387.62,0.166,281.03,48,2
11.7,1391.76,0.185,281.94,47,2
11.8,1397.2,0.165,282.77,49,2
11.9,1400.77,0.192,283.74,45,2
12.0,1405.32,0.179,284.2,49,2
12.1,1410.71,0.176,285.25,49,2
12.2,1413.82,0.173,286.31,45,2
12.3,1417.81,0.17,287.33,46,2
12.4,1422.3,0.185,287.97,44,2
12.5,1426.65,0.16,288.51,49,2
12.6,1430.89,0.177,289.27,45,2
12.7,1436.64,0.168,289.85,45,2
12.8,1440.61,0.186,290.33,44,2
12.9,1446.33,0.196,290.91,46,2
13.0,1449.67,0.166,291.39,46,2
13.1,1454.26,0.17,292.17,44,2
13.2,1457.36,0.161,293.07,46,2
13.3,1460.7,0.164,293.79,45,2
13.4,1464.96,0.156,294.52,46,2
13.5,1469.15,0.202,295.62,45,2
13.6,1474.86,0.176,296.48,48,2
13.7,1480.31,0.161,297.28,45,2
13.8,1483.45,0.188,297.83,48,2
13.9,1488.95,0.168,298.48,49,2
14.0,1493.22,0.18,299.51,46,2
14.1,1496.89,0.201,300.07,45,2
14.2,1501.4,0.171,301.16,48,2
14.3,1507.03,0.194,301.51,46,2
14.4,1510.42,0.179,302.6,47,2
14.5,1514.65,0.167,303.4,47,2
14.6,1518.53,0.154,303.79,45,2
14.7,1523.74,0.15,304.75,46,2
14.8,1528.23,0.179,305.51,48,2
14.9,1532.36,0.148,306.24,48,2
15.0,1537.54,0.195,306.6,47,2
15.1,1542.7,0.165,307.66,49,2
15.2,1548.32,0.128,308.63,47,2
15.3,1552.06,0.154,309.18,47,2
15.4,1555.5,0.149,309.66,49,2
15.5,1561.09,0.175,310.37,47,2
15.6,1565.5,0.13,310.83,47,2
15.7,1569.95,0.176,311.77,49,2
15.8,1575.2,0.162,312.66,45,2
15.9,1580.6,0.16,312.96,49,2
16.0,1584.14,0.143,314.03,49,2
16.1,1588.92,0.175,314.41,46,2
16.2,1593.74,0.147,314.71,48,2
16.3,1596.75,0.167,315.09,45,2
16.4,1600.45,0.129,315.54,48,2
16.5,1604.68,0.138,315.98,44,2
16.6,1608.3,0.113,316.73,49,2
16.7,1611.64,0.169,317.38,45,2
16.8,1616.26,0.137,318.24,45,2
16.9,1619.74,0.167,319.2,46,2
17.0,1625.03,0.142,320.0,49,2
17.1,1629.44,0.124,320.88,46,2
17.2,1633.21,0.129,321.43,49,2
17.3,1636.76,0.112,321.84,46,2
17.4,1642.05,0.164,322.14,47,2
17.5,1646.26,0.157,322.47,44,2
17.6,1651.63,0.137,323.44,45,2
17.7,1656.53,0.098,324.07,45,2
17.8,1660.56,0.127,324.8,46,2
17.9,1664.29,0.145,325.23,46,2
18.0,1668.14,0.116,325.96,46,2
18.1,1671.7,0.116,326.35,46,2
18.2,1674.88,0.101,327.23,45,2
18.3,1678.05,0.1,328.22,47,2
18.4,1680.89,0.116,328.63,47,2
18.5,1685.38,0.126,329.54,44,2
18.6,1690.75,0.1,330.53,44,2
18.7,1695.53,0.143,331.27,48,2
18.8,1700.96,0.134,331.62,44,2
18.9,1705.23,0.148,332.59,46,2
19.0,1708.52,0.115,333.6,46,2
19.1,1711.3,0.085,334.01,48,2
19.2,1715.92,0.136,335.03,46,2
19.3,1720.27,0.094,335.96,46,2
19.4,1723.31,0.088,336.81,48,2
19.5,1726.08,0.114,337.78,46,2
19.6,1729.39,0.1,338.58,45,2
19.7,1732.13,0.105,339.17,45,2
19.8,1734.88,0.109,340.18,49,2
19.9,1737.94,0.116,340.62,45,2
20.0,1742.23,0.138,341.02,45,2
20.1,1745.97,0.136,341.33,46,2
20.2,1748.91,0.085,341.85,49,2
20.3,1751.87,0.106,342.47,47,2
20.4,1756.79,0.123,343.2,48,2
20.5,1759.98,0.072,344.29,48,2
20.6,1764.31,0.081,344.81,45,2
20.7,1768.92,0.103,345.63,44,2
20.8,1773.13,0.104,346.44,47,2
20.9,1778.38,0.092,347.39,47,2
21.0,1783.38,0.124,348.48,45,2
21.1,1788.35,0.116,349.4,47,2
21.2,1791.01,0.087,350.3,48,2
21.3,1794.6,0.079,350.81,44,2
21.4,1798.14,0.072,351.48,44,2
21.5,1802.55,0.071,351.94,48,2
21.6,1805.85,0.099,352.89,48,2
21.7,1809.42,0.124,353.55,48,2
21.8,1812.54,0.093,354.42,49,2
21.9,1815.31,0.101,354.81,46,2
22.0,1818.55,0.101,355.21,48,2
22.1,1822.62,0.086,356.26,49,2
22.2,1825.84,0.08,357.12,49,2
22.3,1830.53,0.114,357.63,49,2
22.4,1835.21,0.067,358.16,47,2
22.5,1839.9,0.107,359.0,47,2
22.6,1844.95,0.099,359.59,46,2
22.7,1849.05,0.1,360.47,45,2
22.8,1851.89,0.111,361.01,44,2
22.9,1855.26,0.085,361.66,46,2
23.0,1860.19,0.078,362.56,45,2
23.1,1863.37,0.077,363.58,48,2
23.2,1866.64,0.102,363.98,45,2
23.3,1871.26,0.115,364.58,47,2
23.4,1875.69,0.096,365.65,45,2
23.5,1880.76,0.104,366.55,49,2
23.6,1883.31,0.099,367.63,48,2
23.7,1886.71,0.079,368.25,48,2
23.8,1890.49,0.077,369.17,48,2
23.9,1895.33,0.097,370.18,45,2
24.0,1899.79,0.088,370.87,46,2
24.1,1903.14,0.068,371.49,47,2
24.2,1906.9,0.119,372.0,46,2
24.3,1909.22,0.117,372.68,47,2
24.4,1912.55,0.061,373.33,49,2
24.5,1914.92,0.072,374.36,48,2
24.6,1917.63,0.112,375.34,49,2
24.7,1920.33,0.125,376.44,48,2
24.8,1924.52,0.088,377.38,45,2
24.9,1927.74,0.075,377.84,47,2
25.0,1931.36,0.073,378.73,45,2
25.1,1935.14,0.101,379.25,49,2
25.2,1939.3,0.121,380.28,45,2
25.3,1942.3,0.082,381.0,46,2
25.4,1946.51,0.121,381.86,45,2
25.5,1949.92,0.113,382.93,46,2
25.6,1953.56,0.109,383.25,44,2
25.7,1957.54,0.077,383.98,44,2
25.8,1960.73,0.071,384.57,49,2
25.9,1963.56,0.103,385.06,45,2
26.0,1967.95,0.116,385.69,46,2
26.1,1972.58,0.098,386.24,44,2
26.2,1975.51,0.071,386.69,46,2
26.3,1978.09,0.108,387.44,44,2
26.4,1980.79,0.132,387.77,47,2
26.5,1985.14,0.107,388.32,47,2
26.6,1989.46,0.099,389.13,49,2
26.7,1993.37,0.079,389.76,47,2
26.8,1998.16,0.12,390.23,48,2
26.9,2001.25,0.12,390.62,46,2
27.0,2003.67,0.123,391.68,45,2
27.1,2007.81,0.093,392.06,46,2
27.2,2012.52,0.09,393.11,48,2
27.3,2017.04,0.109,393.61,44,2
27.4,2021.59,0.127,394.48,44,2
27.5,2023.95,0.104,395.23,49,2
27.6,2026.67,0.134,396.32,48,2
27.7,2029.18,0.088,397.02,49,2
27.8,2033.38,0.103,397.32,49,2
27.9,2036.12,0.113,397.96,48,2
28.0,2040.08,0.104,398.58,48,2
28.1,2044.36,0.147,399.23,45,2
28.2,2048.55,0.122,400.17,49,2
28.3,2050.69,0.122,400.91,45,2
28.4,2055.07,0.121,401.97,45,2
28.5,2058.32,0.14,402.76,48,2
28.6,2062.88,0.091,403.72,48,2
28.7,2066.23,0.094,404.75,49,2
28.8,2069.42,0.117,405.75,48,2
28.9,2073.03,0.137,406.2,48,2
29.0,2077.32,0.147,407.14,47,2
29.1,2080.26,0.124,407.74,47,2
29.2,2082.83,0.101,408.11,46,2
