Time,Height,Resultant_acceleration,Resultant_velocity,AGC,classlabel
0.1,318.4,0.151,119.39,45,9
0.2,316.05,0.1,120.0,48,9
0.3,316.92,0.213,121.06,47,9
0.4,319.12,0.118,121.36,46,9
0.5,322.34,0.246,120.82,47,9
0.6,325.53,0.216,120.57,49,9
0.7,328.24,0.193,120.6,47,9
0.8,329.47,0.098,120.54,46,9
0.9,330.59,0.291,120.55,45,9
1.0,334.85,0.217,120.34,45,9
1.1,337.32,0.289,120.98,47,9
1.2,341.72,0.22,122.06,49,9
1.3,340.04,0.139,121.44,49,9
1.4,338.2,0.27,121.37,44,9
1.5,340.16,0.138,121.21,45,9
1.6,339.25,0.216,121.94,44,9
1.7,340.06,0.242,122.14,45,9
1.8,342.68,0.187,123.17,45,9
1.9,345.5,0.267,123.89,45,9
2.0,346.19,0.243,123.1,45,9
2.1,350.99,0.183,123.0,45,9
2.2,351.11,0.303,123.1,45,9
2.3,349.86,0.298,123.91,45,9
2.4,351.32,0.267,122.93,44,9
2.5,351.94,0.201,122.67,47,9
2.6,355.65,0.213,122.85,45,9
2.7,360.15,0.314,123.44,47,9
2.8,359.81,0.294,124.31,45,9
2.9,360.07,0.272,125.24,49,9
3.0,363.52,0.206,125.8,49,9
3.1,363.71,0.196,126.46,44,9
3.2,364.79,0.324,127.45,44,9
3.3,369.29,0.25,128.38,47,9
3.4,373.96,0.258,127.94,46,9
3.5,376.75,0.234,128.29,46,9
3.6,379.68,0.23,129.18,48,9
3.7,380.95,0.289,129.02,45,9
3.8,383.81,0.226,129.55,45,9
3.9,386.68,0.337,130.28,46,9
4.0,390.09,0.291,131.19,45,9
4.1,394.32,0.243,131.63,44,9
4.2,396.24,0.185,130.64,46,9
4.3,401.28,0.353,131.82,48,9
4.4,402.57,0.321,131.27,49,9
4.5,403.67,0.335,131.5,49,9
4.6,406.26,0.29,132.18,46,9
4.7,404.56,0.207,131.42,46,9
4.8,402.93,0.183,130.54,46,9
4.9,404.96,0.242,131.63,48,9
5.0,404.42,0.284,130.85,47,9
5.1,403.72,0.249,130.86,45,9
5.2,408.1,0.345,131.77,49,9
5.3,409.08,0.31,132.87,45,9
5.4,408.56,0.242,132.89,49,9
5.5,412.34,0.246,133.95,47,9
5.6,414.69,0.285,134.97,49,9
5.7,413.16,0.204,134.5,47,9
5.8,411.87,0.274,135.25,44,9
5.9,414.89,0.237,135.5,48,9
6.0,412.81,0.224,135.2,46,9
6.1,414.74,0.202,134.31,44,9
6.2,416.1,0.178,134.53,46,9
6.3,416.91,0.2,135.06,47,9
6.4,415.92,0.213,135.12,46,9
6.5,416.14,0.222,135.36,45,9
6.6,414.97,0.321,135.13,48,9
6.7,417.3,0.181,135.73,45,9
6.8,415.44,0.194,136.4,49,9
6.9,415.4,0.239,137.12,45,9
7.0,418.18,0.285,137.46,46,9
7.1,421.83,0.316,138.24,47,9
7.2,420.44,0.197,137.49,47,9
7.3,421.4,0.287,138.53,45,9
7.4,423.44,0.232,137.75,45,9
7.5,425.79,0.269,138.07,44,9
7.6,424.09,0.329,139.03,45,9
7.7,423.82,0.307,138.72,44,9
7.8,421.04,0.268,139.81,45,9
7.9,424.23,0.338,140.59,46,9
8.0,424.66,0.205,141.35,44,9
8.1,425.83,0.216,141.05,46,9
8.2,428.35,0.276,142.18,47,9
8.3,429.46,0.304,142.39,49,9
8.4,431.59,0.275,143.45,49,9
8.5,431.92,0.217,144.44,45,9
8.6,431.45,0.17,143.56,45,9
8.7,429.25,0.263,143.8,47,9
8.8,432.45,0.132,144.65,45,9
8.9,430.27,0.309,144.31,46,9
9.0,432.13,0.163,143.64,49,9
9.1,431.37,0.131,144.82,47,9
9.2,431.91,0.136,144.57,45,9
9.3,432.58,0.215,144.38,45,9
9.4,432.94,0.163,143.84,44,9
9.5,430.66,0.201,144.6,45,9
9.6,433.2,0.207,143.98,49,9
9.7,433.99,0.16,144.46,48,9
9.8,436.14,0.29,143.63,45,9
9.9,437.1,0.208,143.56,48,9
10.0,434.92,0.213,143.27,48,9
10.1,432.34,0.165,144.01,44,9
10.2,431.45,0.284,143.71,44,9
10.3,428.78,0.225,144.69,49,9
10.4,428.83,0.141,144.34,49,9
10.5,425.92,0.16,144.19,49,9
10.6,423.7,0.145,144.19,44,9
10.7,420.62,0.152,143.36,47,9
10.8,423.12,0.082,144.32,45,9
10.9,424.47,0.183,143.37,45,9
11.0,422.75,0.115,142.93,44,9
11.1,421.64,0.199,143.38,44,9
11.2,424.29,0.205,143.19,47,9
11.3,422.76,0.176,143.42,49,9
11.4,423.56,0.114,144.2,46,9
11.5,419.83,0.165,143.27,46,9
11.6,416.35,0.121,144.2,48,9
11.7,413.65,0.178,144.66,48,9
11.8,414.65,0.053,143.83,47,9
11.9,410.58,0.072,143.92,49,9
12.0,411.94,0.133,144.58,48,9
12.1,411.98,0.241,144.76,44,9
12.2,410.57,0.222,144.22,48,9
12.3,409.57,0.221,144.29,48,9
12.4,405.53,0.051,144.53,49,9
12.5,404.24,0.057,144.46,49,9
12.6,404.14,0.16,143.51,46,9
12.7,404.68,0.069,144.69,44,9
12.8,406.37,0.223,145.63,45,9
12.9,408.0,0.188,146.15,45,9
13.0,404.65,0.159,147.0,47,9
13.1,401.27,0.093,146.59,48,9
13.2,403.17,0.074,147.19,46,9
13.3,399.4,0.157,147.52,44,9
13.4,398.16,0.059,148.47,48,9
13.5,400.12,0.103,149.37,48,9
13.6,399.33,0.066,149.47,49,9
13.7,397.42,0.039,148.89,48,9
13.8,397.07,0.026,149.24,48,9
13.9,394.83,0.101,149.2,45,9
14.0,393.4,0.111,149.92,47,9
14.1,390.22,0.11,149.85,47,9
14.2,387.08,0.084,149.28,44,9
14.3,385.49,0.146,148.53,49,9
14.4,384.03,0.041,149.35,49,9
14.5,381.05,0.116,148.6,44,9
14.6,379.02,0.179,148.49,48,9
14.7,380.05,0.02,148.04,48,9
14.8,378.1,0.106,147.33,49,9
14.9,381.07,0.046,148.4,45,9
15.0,383.36,0.15,148.78,48,9
15.1,383.36,0.064,148.14,46,9
15.2,385.17,0.089,149.0,48,9
15.3,382.04,0.038,149.31,45,9
15.4,379.17,0.02,149.48,49,9
15.5,381.86,0.086,148.86,46,9
15.6,384.17,0.113,148.08,48,9
15.7,385.79,0.032,147.84,45,9
15.8,383.07,0.1,148.22,47,9
15.9,386.19,0.05,148.42,46,9
16.0,389.11,0.09,148.25,44,9
16.1,393.12,0.155,148.02,44,9
16.2,391.0,0.023,147.03,47,9
16.3,389.89,0.033,146.31,49,9
16.4,394.13,0.165,145.91,45,9
16.5,397.67,0.02,146.76,46,9
16.6,399.67,0.164,147.45,44,9
16.7,400.84,0.08,146.77,47,9
16.8,399.2,0.075,146.43,49,9
16.9,402.57,0.047,146.19,47,9
17.0,404.68,0.02,146.29,46,9
17.1,405.82,0.02,145.38,47,9
17.2,403.95,0.134,145.16,45,9
17.3,408.11,0.165,144.94,49,9
17.4,406.11,0.08,143.97,45,9
17.5,410.38,0.118,143.97,49,9
17.6,411.38,0.079,144.36,44,9
17.7,409.51,0.02,143.85,49,9
17.8,413.59,0.062,144.98,48,9
17.9,417.32,0.068,144.03,49,9
18.0,417.35,0.141,144.4,49,9
18.1,418.06,0.029,144.22,47,9
18.2,418.03,0.133,143.99,45,9
18.3,416.26,0.12,143.71,46,9
18.4,415.7,0.09,143.63,49,9
18.5,417.35,0.037,143.68,44,9
18.6,418.31,0.064,144.86,48,9
18.7,416.41,0.048,144.23,44,9
18.8,416.15,0.13,145.22,49,9
18.9,415.4,0.159,146.12,46,9
19.0,416.3,0.044,146.0,46,9
19.1,415.63,0.069,145.34,47,9
