Time,Height,Resultant_acceleration,Resultant_velocity,AGC,classlabel
0.1,984.68,0.169,205.87,48,1
0.2,989.04,0.17,206.75,47,1
0.3,994.74,0.203,207.69,49,1
0.4,999.17,0.169,208.16,46,1
0.5,1002.11,0.198,208.8,51,1
0.6,1007.78,0.211,209.49,48,1
0.7,1010.68,0.191,210.22,50,1
0.8,1013.67,0.188,210.52,47,1
0.9,1017.34,0.178,211.21,50,1
1.0,1022.52,0.178,211.99,51,1
1.1,1027.5,0.177,212.71,49,1
1.2,1032.09,0.178,213.52,46,1
1.3,1036.62,0.203,214.29,48,1
1.4,1040.58,0.235,215.07,51,1
1.5,1044.22,0.181,215.85,51,1
1.6,1050.1,0.24,216.61,46,1
1.7,1055.69,0.251,216.92,50,1
1.8,1061.23,0.193,217.91,49,1
1.9,1064.64,0.194,218.61,50,1
2.0,1068.84,0.243,219.09,51,1
2.1,1073.22,0.252,219.45,46,1
2.2,1076.34,0.189,220.12,50,1
2.3,1080.14,0.196,220.61,46,1
2.4,1084.81,0.252,221.1,48,1
2.5,1090.03,0.232,222.14,49,1
2.6,1095.31,0.202,222.47,49,1
2.7,1101.26,0.205,223.33,50,1
2.8,1106.93,0.232,223.85,48,1
2.9,1112.66,0.244,224.39,46,1
3.0,1118.83,0.206,225.03,46,1
3.1,1124.42,0.258,225.5,49,1
3.2,1127.64,0.253,226.31,50,1
3.3,1133.44,0.25,226.8,47,1
3.4,1137.1,0.266,227.79,48,1
3.5,1141.36,0.264,228.52,48,1
3.6,1145.95,0.27,229.45,46,1
3.7,1149.77,0.254,230.06,48,1
3.8,1155.77,0.267,231.06,49,1
3.9,1160.03,0.224,231.34,51,1
4.0,1165.96,0.27,232.23,51,1
4.1,1171.06,0.258,232.65,47,1
4.2,1175.77,0.276,232.91,49,1
4.3,1181.73,0.22,233.71,47,1
4.4,1185.27,0.274,234.42,46,1
4.5,1190.37,0.225,234.68,51,1
4.6,1195.02,0.267,235.62,50,1
4.7,1199.07,0.263,236.31,51,1
4.8,1204.8,0.218,237.19,50,1
4.9,1210.52,0.244,237.47,48,1
5.0,1214.37,0.276,238.06,51,1
5.1,1219.62,0.246,239.04,49,1
5.2,1225.89,0.263,239.31,51,1
5.3,1230.34,0.264,239.79,51,1
5.4,1236.5,0.269,240.05,51,1
5.5,1240.41,0.278,240.83,50,1
5.6,1246.28,0.26,241.22,50,1
5.7,1250.66,0.224,241.85,51,1
5.8,1254.76,0.299,242.14,46,1
5.9,1258.73,0.29,243.11,47,1
6.0,1265.08,0.253,243.41,47,1
6.1,1269.34,0.236,243.93,46,1
6.2,1275.18,0.249,244.95,47,1
6.3,1281.35,0.294,245.97,48,1
6.4,1286.98,0.289,246.85,49,1
6.5,1291.13,0.25,247.83,47,1
6.6,1296.54,0.276,248.41,50,1
6.7,1301.5,0.269,249.0,49,1
6.8,1306.78,0.287,249.84,51,1
6.9,1312.11,0.302,250.67,46,1
7.0,1318.52,0.259,251.17,51,1
7.1,1323.3,0.235,251.79,50,1
7.2,1327.83,0.291,252.38,49,1
7.3,1332.19,0.271,253.02,51,1
7.4,1338.44,0.251,253.31,50,1
7.5,1342.4,0.257,253.78,48,1
7.6,1348.57,0.282,254.82,48,1
7.7,1353.0,0.242,255.76,50,1
7.8,1359.48,0.249,256.54,46,1
7.9,1363.65,0.242,257.55,46,1
8.0,1367.39,0.235,258.5,46,1
8.1,1372.7,0.264,258.96,47,1
8.2,1376.78,0.245,259.79,46,1
8.3,1383.0,0.225,260.38,50,1
8.4,1387.07,0.243,261.37,48,1
8.5,1393.27,0.254,262.35,46,1
8.6,1398.85,0.264,262.64,51,1
