Time,Height,Resultant_acceleration,Resultant_velocity,AGC,classlabel
0.1,1204.92,0.187,221.17,47,5
0.2,1209.54,0.157,222.0,47,5
0.3,1212.14,0.152,222.71,48,5
0.4,1216.17,0.166,223.36,48,5
0.5,1220.36,0.157,223.87,46,5
0.6,1225.02,0.159,224.72,46,5
0.7,1227.95,0.177,225.69,45,5
0.8,1230.75,0.176,226.85,48,5
0.9,1235.12,0.207,227.79,48,5
1.0,1240.46,0.224,228.21,47,5
1.1,1245.74,0.203,229.2,45,5
1.2,1249.46,0.239,230.22,48,5
1.3,1253.73,0.175,231.38,49,5
1.4,1256.52,0.241,231.83,47,5
1.5,1260.96,0.174,232.68,49,5
1.6,1264.34,0.238,233.32,47,5
1.7,1267.97,0.187,234.45,49,5
1.8,1271.62,0.23,234.89,47,5
1.9,1276.51,0.162,235.67,45,5
2.0,1280.11,0.227,236.13,48,5
2.1,1284.47,0.165,237.08,48,5
2.2,1290.01,0.208,238.26,48,5
2.3,1295.69,0.182,239.43,45,5
2.4,1298.54,0.248,240.61,47,5
2.5,1304.0,0.24,241.66,45,5
2.6,1307.98,0.183,242.61,47,5
2.7,1312.67,0.245,243.33,45,5
2.8,1317.03,0.219,244.52,46,5
2.9,1320.57,0.219,245.05,47,5
3.0,1325.98,0.177,245.92,48,5
3.1,1329.96,0.194,246.82,45,5
3.2,1334.98,0.262,247.4,47,5
3.3,1340.66,0.249,248.28,49,5
3.4,1344.71,0.228,249.4,47,5
3.5,1348.01,0.264,250.57,46,5
3.6,1351.91,0.234,251.77,46,5
3.7,1355.78,0.207,252.64,49,5
3.8,1358.62,0.19,253.79,49,5
3.9,1362.79,0.25,254.55,49,5
4.0,1367.26,0.195,255.31,47,5
4.1,1373.06,0.207,256.37,48,5
4.2,1376.89,0.215,256.81,45,5
4.3,1381.84,0.232,257.24,48,5
4.4,1385.6,0.25,257.8,45,5
4.5,1390.93,0.257,258.99,48,5
4.6,1396.08,0.236,259.57,45,5
4.7,1401.34,0.265,260.31,45,5
4.8,1404.41,0.256,261.49,47,5
4.9,1408.35,0.214,262.32,48,5
5.0,1411.27,0.228,263.32,47,5
5.1,1416.43,0.199,264.36,47,5
5.2,1419.7,0.222,264.86,46,5
5.3,1425.09,0.276,265.61,47,5
5.4,1430.06,0.217,266.26,46,5
5.5,1433.39,0.238,267.07,49,5
5.6,1437.21,0.209,267.81,49,5
5.7,1442.51,0.277,268.7,46,5
5.8,1445.89,0.257,269.57,47,5
5.9,1451.47,0.242,270.19,48,5
6.0,1455.15,0.204,271.31,46,5
6.1,1459.41,0.269,271.97,48,5
6.2,1464.79,0.267,272.6,46,5
6.3,1469.29,0.245,273.3,45,5
6.4,1472.52,0.231,273.77,49,5
6.5,1476.03,0.235,274.91,45,5
6.6,1481.76,0.228,275.68,46,5
6.7,1487.0,0.289,276.33,47,5
6.8,1491.57,0.286,276.85,45,5
6.9,1496.86,0.289,278.03,47,5
7.0,1500.53,0.225,279.13,48,5
7.1,1506.4,0.238,279.77,46,5
7.2,1509.48,0.284,280.87,49,5
7.3,1514.55,0.211,281.66,48,5
7.4,1519.67,0.261,282.42,46,5
7.5,1523.37,0.274,282.99,47,5
7.6,1528.56,0.273,283.54,48,5
7.7,1533.6,0.213,284.23,49,5
7.8,1539.5,0.278,285.02,48,5
7.9,1542.84,0.281,285.6,48,5
8.0,1546.61,0.277,286.33,48,5
8.1,1552.31,0.238,287.36,47,5
8.2,1558.19,0.294,288.45,48,5
8.3,1561.59,0.21,289.55,48,5
8.4,1567.67,0.218,290.34,47,5
8.5,1571.37,0.251,290.95,45,5
8.6,1575.36,0.286,291.39,47,5
8.7,1580.41,0.286,292.22,48,5
8.8,1585.96,0.256,292.64,45,5
8.9,1589.94,0.273,293.53,45,5
9.0,1593.89,0.273,294.43,48,5
9.1,1599.32,0.295,294.91,47,5
9.2,1603.8,0.243,295.95,48,5
9.3,1607.6,0.243,296.84,45,5
9.4,1613.1,0.241,297.92,45,5
9.5,1619.12,0.265,298.35,48,5
9.6,1624.3,0.294,299.12,46,5
9.7,1628.78,0.259,300.06,47,5
9.8,1633.72,0.212,301.08,46,5
9.9,1637.8,0.253,302.0,47,5
10.0,1642.62,0.264,302.75,48,5
10.1,1647.17,0.21,303.85,49,5
10.2,1652.54,0.277,304.99,45,5
10.3,1655.99,0.288,305.9,47,5
10.4,1659.53,0.264,307.0,46,5
10.5,1662.92,0.278,307.66,45,5
10.6,1668.62,0.286,308.82,46,5
10.7,1674.05,0.287,309.85,45,5
10.8,1678.37,0.282,310.3,49,5
10.9,1683.95,0.245,311.24,49,5
11.0,1688.64,0.229,311.96,46,5
11.1,1692.49,0.277,312.63,46,5
11.2,1697.09,0.266,313.66,46,5
11.3,1702.79,0.263,314.66,48,5
11.4,1707.29,0.225,315.71,49,5
11.5,1713.36,0.211,316.31,47,5
11.6,1717.34,0.21,317.28,48,5
11.7,1720.67,0.24,318.13,45,5
11.8,1725.49,0.207,319.13,49,5
11.9,1731.04,0.234,320.24,47,5
12.0,1736.21,0.257,321.12,47,5
12.1,1742.18,0.255,321.61,45,5
12.2,1746.74,0.284,322.13,48,5
12.3,1749.96,0.285,322.54,48,5
12.4,1755.26,0.236,323.02,46,5
12.5,1760.6,0.22,323.9,48,5
12.6,1765.23,0.23,325.07,47,5
12.7,1770.61,0.224,325.83,45,5
12.8,1774.56,0.215,326.43,45,5
12.9,1779.93,0.223,327.04,48,5
13.0,1784.3,0.222,327.8,47,5
13.1,1790.36,0.265,328.37,45,5
13.2,1793.9,0.2,328.8,47,5
13.3,1797.78,0.266,329.6,46,5
13.4,1802.7,0.272,330.49,45,5
13.5,1808.46,0.239,331.46,48,5
13.6,1812.66,0.231,332.29,49,5
13.7,1818.85,0.273,332.71,45,5
13.8,1822.9,0.249,333.58,48,5
13.9,1826.55,0.251,334.21,47,5
14.0,1830.24,0.267,335.19,47,5
14.1,1834.38,0.274,335.78,48,5
14.2,1838.45,0.276,336.77,48,5
14.3,1843.34,0.208,337.51,47,5
14.4,1847.45,0.23,337.96,49,5
14.5,1851.03,0.255,339.13,45,5
14.6,1857.1,0.187,340.16,45,5
14.7,1860.62,0.218,340.73,45,5
14.8,1864.91,0.258,341.52,49,5
14.9,1870.86,0.227,342.58,48,5
15.0,1875.86,0.269,343.62,48,5
15.1,1879.74,0.185,344.46,46,5
15.2,1884.83,0.25,345.19,46,5
15.3,1889.77,0.223,346.02,47,5
15.4,1894.89,0.219,347.19,47,5
15.5,1900.95,0.203,348.26,47,5
15.6,1905.26,0.259,349.2,49,5
15.7,1909.64,0.245,350.14,45,5
15.8,1915.02,0.194,350.93,45,5
15.9,1920.06,0.229,351.62,47,5
16.0,1925.31,0.219,352.57,45,5
16.1,1929.94,0.194,353.57,45,5
16.2,1935.9,0.206,354.25,49,5
16.3,1941.29,0.243,355.38,49,5
16.4,1945.21,0.227,356.51,47,5
16.5,1949.93,0.219,356.96,47,5
16.6,1955.47,0.252,357.37,49,5
16.7,1960.25,0.232,357.88,48,5
16.8,1965.88,0.168,358.92,49,5
16.9,1970.09,0.233,359.48,49,5
17.0,1973.96,0.234,360.47,49,5
17.1,1978.32,0.162,361.08,49,5
17.2,1983.32,0.185,361.92,49,5
17.3,1988.14,0.193,362.82,47,5
17.4,1993.3,0.163,363.35,49,5
17.5,1997.29,0.215,364.47,45,5
17.6,2000.97,0.16,365.05,49,5
17.7,2005.51,0.236,365.45,48,5
17.8,2009.93,0.242,366.42,46,5
17.9,2015.25,0.161,367.22,49,5
18.0,2019.53,0.151,367.78,45,5
18.1,2023.38,0.16,368.67,46,5
18.2,2029.06,0.165,369.53,46,5
18.3,2034.33,0.182,370.02,47,5
18.4,2039.35,0.222,370.58,46,5
18.5,2045.27,0.178,371.51,49,5
18.6,2048.54,0.172,372.42,47,5
18.7,2052.77,0.2,373.15,47,5
18.8,2058.47,0.195,374.12,46,5
18.9,2062.28,0.162,374.83,47,5
19.0,2067.09,0.154,375.73,47,5
19.1,2072.39,0.158,376.29,49,5
19.2,2077.41,0.207,377.38,47,5
19.3,2081.58,0.178,378.11,46,5
19.4,2086.4,0.154,378.96,48,5
19.5,2089.85,0.165,379.8,48,5
19.6,2093.54,0.217,380.36,46,5
19.7,2096.85,0.209,381.17,47,5
19.8,2101.84,0.195,381.62,46,5
19.9,2105.2,0.215,382.22,46,5
20.0,2110.99,0.159,383.08,45,5
20.1,2116.11,0.209,383.74,48,5
20.2,2120.14,0.201,384.31,46,5
20.3,2124.34,0.188,384.76,48,5
20.4,2129.99,0.183,385.62,47,5
20.5,2134.12,0.17,386.15,49,5
20.6,2138.07,0.208,387.31,45,5
20.7,2142.47,0.159,387.85,47,5
20.8,2147.18,0.139,388.39,49,5
20.9,2151.33,0.186,389.42,46,5
21.0,2154.4,0.121,389.84,45,5
21.1,2159.0,0.197,390.7,47,5
21.2,2162.83,0.173,391.53,45,5
21.3,2168.51,0.2,392.41,46,5
21.4,2171.76,0.128,393.43,45,5
21.5,2176.76,0.157,394.1,46,5
21.6,2180.17,0.184,395.2,48,5
21.7,2185.39,0.177,396.13,46,5
21.8,2188.82,0.157,396.89,46,5
21.9,2194.59,0.145,397.61,45,5
22.0,2197.88,0.163,398.53,47,5
22.1,2202.67,0.131,399.09,46,5
22.2,2205.49,0.186,399.82,46,5
22.3,2210.54,0.18,400.35,47,5
22.4,2214.21,0.172,401.25,47,5
22.5,2218.85,0.104,402.11,47,5
22.6,2223.14,0.149,403.08,49,5
22.7,2225.97,0.106,403.94,49,5
22.8,2231.35,0.174,405.1,48,5
22.9,2234.59,0.135,405.69,48,5
23.0,2237.41,0.175,406.3,45,5
23.1,2241.73,0.121,406.84,47,5
23.2,2247.13,0.1,407.67,46,5
23.3,2251.37,0.159,408.42,47,5
23.4,2255.12,0.121,409.51,49,5
23.5,2257.77,0.162,410.6,48,5
23.6,2262.84,0.126,411.1,47,5
23.7,2266.99,0.157,411.68,49,5
23.8,2270.06,0.118,412.8,45,5
23.9,2272.93,0.173,413.33,46,5
