Time,Height,Resultant_acceleration,Resultant_velocity,AGC,classlabel
0.1,601.69,0.112,140.64,46,10
0.2,603.92,0.122,141.19,43,10
0.3,605.84,0.121,141.88,43,10
0.4,607.38,0.169,142.34,45,10
0.5,609.2,0.114,142.57,46,10
0.6,611.44,0.173,143.06,45,10
0.7,614.72,0.112,143.78,46,10
0.8,617.44,0.163,144.23,47,10
0.9,619.77,0.099,144.69,44,10
1.0,622.96,0.171,145.04,46,10
1.1,626.25,0.115,145.66,47,10
1.2,628.83,0.151,146.45,45,10
1.3,631.06,0.118,146.05,47,10
1.4,633.98,0.145,146.73,44,10
1.5,635.9,0.134,147.24,45,10
1.6,637.69,0.115,147.89,44,10
1.7,639.72,0.155,148.24,47,10
1.8,642.52,0.145,148.02,47,10
1.9,645.68,0.15,148.33,43,10
2.0,647.7,0.167,148.77,43,10
2.1,650.76,0.106,149.44,44,10
2.2,653.7,0.185,149.71,47,10
2.3,656.19,0.116,150.08,47,10
2.4,658.14,0.174,150.85,45,10
2.5,660.7,0.143,151.45,44,10
2.6,664.33,0.114,150.77,47,10
2.7,666.43,0.145,151.31,44,10
2.8,668.92,0.108,151.89,47,10
2.9,671.23,0.18,152.29,43,10
3.0,674.94,0.132,153.0,46,10
3.1,676.63,0.134,153.59,46,10
3.2,678.39,0.129,153.22,45,10
3.3,680.37,0.113,153.74,44,10
3.4,683.69,0.133,153.17,44,10
3.5,686.29,0.15,153.68,43,10
3.6,689.89,0.162,154.37,45,10
3.7,693.31,0.113,154.67,47,10
3.8,696.62,0.146,154.07,47,10
3.9,698.85,0.2,154.54,47,10
4.0,702.58,0.163,155.16,46,10
4.1,705.06,0.193,155.68,43,10
4.2,708.39,0.193,155.97,46,10
4.3,711.52,0.171,156.75,46,10
4.4,713.78,0.143,157.19,43,10
4.5,717.29,0.166,157.58,43,10
4.6,720.18,0.137,157.85,45,10
4.7,723.46,0.197,158.32,45,10
4.8,726.94,0.198,158.99,45,10
4.9,730.14,0.182,159.25,45,10
5.0,732.72,0.139,159.89,46,10
5.1,735.19,0.179,160.12,47,10
5.2,739.17,0.191,160.74,46,10
5.3,741.96,0.129,161.22,44,10
5.4,745.57,0.205,161.61,43,10
5.5,748.51,0.149,161.95,43,10
5.6,751.52,0.21,162.72,43,10
5.7,755.0,0.186,163.11,44,10
5.8,757.38,0.198,163.77,43,10
5.9,759.77,0.158,164.06,47,10
6.0,762.0,0.188,164.62,44,10
6.1,765.2,0.158,165.3,47,10
6.2,767.26,0.21,166.0,44,10
6.3,769.38,0.186,166.22,46,10
6.4,771.52,0.14,166.95,45,10
6.5,775.28,0.147,167.49,43,10
6.6,777.48,0.2,167.9,44,10
6.7,781.43,0.189,168.59,43,10
6.8,784.15,0.161,169.29,43,10
6.9,787.79,0.179,170.05,43,10
7.0,790.35,0.188,170.8,46,10
7.1,792.37,0.141,171.05,46,10
7.2,794.6,0.134,171.35,47,10
7.3,797.18,0.143,171.57,45,10
7.4,800.41,0.157,172.18,43,10
7.5,803.32,0.153,172.74,44,10
7.6,806.71,0.195,173.13,45,10
7.7,808.68,0.18,173.62,46,10
7.8,812.87,0.176,174.38,45,10
7.9,814.96,0.217,174.98,44,10
8.0,818.37,0.136,175.51,44,10
8.1,822.61,0.211,175.98,44,10
8.2,826.57,0.219,176.19,43,10
8.3,830.28,0.176,176.68,44,10
8.4,833.0,0.212,177.06,44,10
8.5,835.28,0.143,177.34,44,10
8.6,838.85,0.14,178.09,43,10
8.7,842.95,0.177,178.88,43,10
8.8,846.17,0.148,179.65,45,10
8.9,849.02,0.14,180.39,47,10
9.0,853.01,0.17,180.76,46,10
9.1,857.11,0.157,180.33,43,10
9.2,859.31,0.219,180.69,47,10
9.3,862.23,0.168,180.9,45,10
9.4,864.79,0.133,181.36,46,10
9.5,867.34,0.177,181.58,43,10
9.6,870.18,0.185,182.01,46,10
9.7,872.37,0.172,182.37,43,10
9.8,876.18,0.159,182.69,43,10
9.9,879.24,0.192,183.31,44,10
10.0,882.22,0.169,183.97,45,10
10.1,884.24,0.164,184.45,44,10
10.2,886.52,0.198,184.87,44,10
10.3,890.68,0.144,185.33,43,10
10.4,893.0,0.151,185.73,45,10
10.5,895.93,0.155,186.29,46,10
10.6,898.02,0.215,186.49,43,10
10.7,900.31,0.17,187.03,47,10
10.8,902.69,0.136,187.77,45,10
10.9,905.52,0.143,188.47,47,10
11.0,909.53,0.144,189.14,46,10
11.1,913.13,0.146,189.89,47,10
11.2,915.78,0.21,190.24,45,10
11.3,919.07,0.145,190.46,44,10
11.4,921.55,0.144,190.7,45,10
11.5,924.08,0.195,191.26,47,10
11.6,926.51,0.19,191.46,45,10
11.7,930.06,0.162,191.79,46,10
11.8,932.33,0.144,192.04,44,10
11.9,936.46,0.185,192.27,45,10
12.0,940.71,0.13,192.76,47,10
12.1,943.14,0.194,193.28,47,10
12.2,947.33,0.143,194.01,46,10
12.3,950.18,0.154,194.64,46,10
12.4,952.8,0.194,195.13,47,10
12.5,955.94,0.206,195.76,43,10
12.6,958.33,0.148,196.53,45,10
12.7,960.39,0.18,197.18,47,10
12.8,964.17,0.145,197.42,46,10
12.9,967.71,0.134,197.75,44,10
13.0,970.69,0.117,197.96,44,10
13.1,973.49,0.165,198.58,44,10
13.2,975.83,0.186,198.97,43,10
13.3,979.62,0.151,199.21,45,10
13.4,982.59,0.165,199.51,44,10
13.5,986.62,0.163,200.18,47,10
13.6,989.3,0.158,200.61,44,10
13.7,992.91,0.151,201.16,46,10
13.8,995.56,0.168,201.5,45,10
13.9,999.11,0.114,202.09,47,10
14.0,1003.14,0.116,202.5,45,10
14.1,1006.91,0.163,201.81,47,10
14.2,1010.7,0.137,202.48,45,10
14.3,1013.27,0.139,202.95,47,10
14.4,1017.28,0.119,203.16,45,10
14.5,1020.15,0.114,203.71,44,10
14.6,1023.89,0.189,204.36,44,10
14.7,1026.99,0.105,204.96,44,10
14.8,1029.75,0.104,205.71,46,10
14.9,1033.28,0.188,206.1,43,10
15.0,1036.25,0.16,206.69,46,10
15.1,1039.42,0.102,207.33,47,10
15.2,1041.83,0.103,208.13,45,10
15.3,1045.46,0.169,208.55,44,10
15.4,1047.45,0.136,209.07,47,10
15.5,1050.82,0.109,209.29,45,10
15.6,1053.22,0.143,209.98,46,10
15.7,1055.51,0.127,210.18,44,10
15.8,1059.18,0.142,210.64,47,10
15.9,1061.43,0.148,211.27,44,10
16.0,1063.63,0.177,212.04,43,10
16.1,1065.48,0.122,212.37,43,10
16.2,1068.23,0.156,212.73,46,10
16.3,1070.03,0.114,213.09,46,10
16.4,1072.14,0.166,213.57,44,10
16.5,1074.73,0.11,213.91,46,10
16.6,1077.08,0.106,214.54,46,10
16.7,1079.05,0.103,214.88,44,10
16.8,1082.02,0.172,215.16,46,10
16.9,1085.88,0.127,215.71,47,10
17.0,1089.56,0.156,216.19,45,10
17.1,1092.24,0.164,216.54,43,10
17.2,1096.05,0.152,217.03,43,10
17.3,1098.11,0.089,217.43,43,10
