Time,Height,Resultant_acceleration,Resultant_velocity,AGC,classlabel
0.1,1486.32,0.925,298.99,47,3
0.2,1499.93,0.791,304.16,46,3
0.3,1523.77,0.529,308.57,50,3
0.4,1546.34,0.821,310.76,46,3
0.5,1541.64,0.783,316.16,50,3
0.6,1556.07,0.767,321.96,46,3
0.7,1565.58,0.887,327.79,48,3
0.8,1587.01,1.028,331.85,48,3
0.9,1599.59,1.001,334.05,50,3
1.0,1601.28,1.065,337.18,49,3
1.1,1625.97,0.78,341.44,49,3
1.2,1622.7,0.909,345.61,49,3
1.3,1646.75,1.03,347.97,49,3
1.4,1649.99,0.805,353.69,47,3
1.5,1652.04,0.915,352.27,47,3
1.6,1653.18,0.641,357.91,51,3
1.7,1639.22,0.752,363.1,51,3
1.8,1653.25,1.094,365.88,46,3
1.9,1679.36,1.16,371.26,49,3
2.0,1670.23,1.1,376.0,52,3
2.1,1687.81,0.97,379.41,52,3
2.2,1709.09,0.763,381.89,47,3
2.3,1722.62,1.006,384.58,51,3
2.4,1739.11,1.073,386.88,47,3
2.5,1729.42,0.934,389.9,52,3
2.6,1715.45,0.77,394.23,50,3
2.7,1715.87,0.86,399.93,52,3
2.8,1711.43,0.849,404.42,47,3
2.9,1718.27,0.866,409.42,51,3
3.0,1714.37,0.999,411.88,46,3
3.1,1724.39,1.307,417.72,48,3
3.2,1731.23,0.784,419.89,49,3
3.3,1727.93,1.17,422.75,52,3
3.4,1750.06,1.34,426.89,47,3
3.5,1745.55,0.96,431.65,51,3
3.6,1757.97,0.972,436.86,50,3
3.7,1757.65,1.07,440.91,47,3
3.8,1764.41,0.89,446.09,49,3
3.9,1784.05,1.147,448.85,49,3
4.0,1806.03,0.928,446.51,50,3
4.1,1795.59,0.831,443.03,47,3
4.2,1801.17,0.738,445.82,48,3
4.3,1809.78,1.214,450.89,46,3
4.4,1813.94,0.753,448.42,46,3
4.5,1797.97,0.733,452.44,48,3
4.6,1797.21,1.207,457.4,48,3
4.7,1808.01,0.842,459.61,47,3
4.8,1817.4,1.115,462.73,47,3
4.9,1802.42,0.766,468.29,48,3
5.0,1822.61,0.673,473.96,47,3
5.1,1820.33,0.875,479.22,48,3
5.2,1809.28,0.714,484.86,46,3
5.3,1800.28,0.835,487.23,52,3
5.4,1792.34,0.682,489.43,47,3
5.5,1775.23,1.013,494.63,50,3
5.6,1783.09,0.729,497.16,51,3
5.7,1780.95,0.834,499.36,51,3
5.8,1796.26,0.74,502.19,51,3
5.9,1776.63,0.452,506.01,52,3
6.0,1778.43,0.474,509.08,47,3
6.1,1796.07,0.419,512.29,47,3
6.2,1781.0,0.738,517.24,49,3
6.3,1764.69,0.701,522.91,50,3
6.4,1759.46,0.826,525.74,47,3
6.5,1758.8,0.462,530.04,50,3
6.6,1761.65,0.863,533.88,52,3
6.7,1780.96,0.511,536.79,49,3
6.8,1799.56,0.492,540.99,50,3
6.9,1809.6,0.433,545.71,51,3
7.0,1802.46,0.779,549.73,51,3
7.1,1777.86,0.366,554.97,47,3
7.2,1760.22,0.481,559.79,48,3
7.3,1756.68,0.395,562.13,50,3
7.4,1762.61,0.557,565.43,52,3
7.5,1748.0,0.485,570.87,46,3
