Time,Height,Resultant_acceleration,Resultant_velocity,AGC,classlabel
0.1,820.99,0.056,155.16,43,8
0.2,821.11,0.061,155.38,45,8
0.3,823.28,0.056,155.48,44,8
0.4,825.42,0.092,155.71,43,8
0.5,825.83,0.057,155.92,45,8
0.6,824.09,0.122,156.08,44,8
0.7,822.99,0.102,155.66,47,8
0.8,824.54,0.093,155.98,47,8
0.9,827.35,0.088,156.22,47,8
1.0,826.92,0.119,156.69,47,8
1.1,827.51,0.116,157.05,44,8
1.2,828.4,0.1,157.32,44,8
1.3,828.06,0.112,157.64,43,8
1.4,830.5,0.088,157.97,45,8
1.5,832.91,0.062,158.15,47,8
1.6,833.21,0.118,158.5,44,8
1.7,836.09,0.125,158.79,43,8
1.8,834.67,0.095,158.99,46,8
1.9,834.49,0.104,159.19,47,8
2.0,832.83,0.068,159.67,47,8
2.1,832.86,0.111,159.83,47,8
2.2,834.82,0.062,160.02,47,8
2.3,837.32,0.115,160.14,43,8
2.4,837.44,0.081,160.61,46,8
2.5,837.21,0.128,160.01,47,8
2.6,836.0,0.124,160.29,44,8
2.7,838.4,0.129,160.45,45,8
2.8,839.09,0.12,160.71,47,8
2.9,838.97,0.085,161.16,46,8
3.0,841.24,0.081,161.6,43,8
3.1,842.82,0.105,161.95,47,8
3.2,844.44,0.125,161.27,44,8
3.3,844.58,0.078,161.55,44,8
3.4,847.33,0.11,161.73,47,8
3.5,846.56,0.128,162.15,43,8
3.6,848.3,0.105,162.57,47,8
3.7,851.2,0.131,162.84,45,8
3.8,850.53,0.122,162.95,45,8
3.9,852.34,0.109,163.22,47,8
4.0,852.95,0.088,163.48,44,8
4.1,853.86,0.115,163.86,46,8
4.2,854.54,0.132,164.19,45,8
4.3,855.9,0.13,164.51,44,8
4.4,858.42,0.115,164.95,47,8
4.5,859.24,0.095,164.65,43,8
4.6,860.28,0.134,164.76,47,8
4.7,861.04,0.121,165.09,44,8
4.8,863.54,0.112,165.5,45,8
4.9,863.57,0.098,165.69,47,8
5.0,863.88,0.097,166.07,45,8
5.1,862.55,0.092,166.19,45,8
5.2,862.65,0.081,166.55,43,8
5.3,861.94,0.121,166.9,47,8
5.4,864.49,0.103,167.31,43,8
5.5,867.54,0.087,167.6,44,8
5.6,869.13,0.114,167.78,44,8
5.7,871.48,0.094,167.93,46,8
5.8,873.58,0.094,168.1,44,8
5.9,876.17,0.129,168.5,43,8
6.0,877.74,0.093,168.67,44,8
6.1,876.35,0.094,168.9,44,8
6.2,878.14,0.135,169.05,45,8
6.3,877.49,0.111,169.18,46,8
6.4,880.57,0.109,169.6,46,8
6.5,882.48,0.122,169.72,45,8
6.6,882.65,0.093,170.13,43,8
6.7,883.49,0.141,170.53,44,8
6.8,884.71,0.147,170.98,47,8
6.9,887.58,0.099,171.46,46,8
7.0,890.19,0.119,171.77,44,8
7.1,891.39,0.095,172.01,45,8
7.2,890.53,0.11,172.49,43,8
7.3,891.1,0.102,172.61,47,8
7.4,892.15,0.144,172.83,45,8
7.5,895.28,0.126,173.1,47,8
7.6,894.42,0.095,173.39,45,8
7.7,895.41,0.134,173.06,45,8
