Time,Height,Resultant_acceleration,Resultant_velocity,AGC,classlabel
0.1,1347.5,0.59,272.86,46,7
0.2,1359.53,0.396,274.61,50,7
0.3,1361.27,0.54,275.97,49,7
0.4,1370.32,0.366,278.86,47,7
0.5,1363.47,0.438,280.65,49,7
0.6,1358.44,0.396,282.33,50,7
0.7,1362.81,0.684,283.82,47,7
0.8,1373.13,0.629,286.0,46,7
0.9,1382.06,0.707,287.81,50,7
1.0,1381.13,0.739,290.69,49,7
1.1,1393.99,0.658,292.4,49,7
1.2,1388.37,0.527,293.73,46,7
1.3,1394.21,0.395,296.47,49,7
1.4,1408.27,0.429,299.08,46,7
1.5,1418.68,0.65,300.66,50,7
1.6,1429.66,0.434,303.72,49,7
1.7,1422.75,0.635,306.46,46,7
1.8,1420.01,0.693,308.65,49,7
1.9,1414.21,0.81,310.4,47,7
2.0,1408.08,0.736,311.75,47,7
2.1,1417.76,0.702,314.14,50,7
2.2,1421.45,0.607,317.13,49,7
2.3,1420.34,0.696,319.29,47,7
2.4,1423.69,0.46,318.26,46,7
2.5,1436.1,0.495,320.85,49,7
2.6,1450.25,0.531,323.02,49,7
2.7,1461.38,0.683,325.99,49,7
2.8,1460.25,0.814,327.45,50,7
2.9,1473.66,0.61,330.6,49,7
3.0,1483.74,0.879,332.65,50,7
3.1,1496.16,0.65,335.36,50,7
3.2,1503.78,0.831,337.18,46,7
3.3,1504.53,0.555,338.58,50,7
3.4,1510.95,0.75,340.88,50,7
3.5,1519.36,0.552,343.69,48,7
3.6,1523.72,0.531,346.8,46,7
3.7,1523.12,0.862,349.33,46,7
3.8,1532.82,0.531,351.4,50,7
3.9,1527.05,0.855,348.97,47,7
4.0,1537.56,0.531,351.82,48,7
4.1,1548.95,0.771,354.39,46,7
4.2,1564.32,0.537,356.66,46,7
4.3,1567.76,0.591,359.42,48,7
4.4,1565.36,0.65,361.55,50,7
4.5,1572.8,0.675,363.22,46,7
4.6,1579.14,0.605,365.11,48,7
4.7,1586.13,0.655,367.36,47,7
4.8,1596.56,0.62,369.31,47,7
4.9,1600.72,0.85,371.19,47,7
5.0,1594.86,0.794,372.62,48,7
5.1,1586.98,0.583,374.71,50,7
5.2,1588.53,0.722,377.57,46,7
5.3,1598.8,0.785,379.77,49,7
5.4,1599.35,0.865,381.89,48,7
5.5,1604.61,0.514,384.02,49,7
5.6,1596.58,0.773,382.18,48,7
5.7,1601.73,0.76,384.15,47,7
5.8,1609.11,0.543,385.54,50,7
5.9,1608.53,0.607,388.56,48,7
6.0,1602.79,0.794,391.19,49,7
