Time,Height,Resultant_acceleration,Resultant_velocity,AGC,classlabel
0.1,1390.91,0.777,276.94,47,4
0.2,1369.15,1.112,279.2,46,4
0.3,1399.96,0.779,281.82,46,4
0.4,1426.66,1.183,285.43,49,4
0.5,1439.94,1.191,287.46,46,4
0.6,1448.73,0.711,290.72,46,4
0.7,1462.22,1.035,292.89,49,4
0.8,1448.19,1.243,295.75,50,4
0.9,1440.89,0.671,300.17,49,4
1.0,1448.48,1.281,304.16,49,4
1.1,1456.88,1.115,309.18,50,4
1.2,1438.55,0.923,311.33,49,4
1.3,1445.78,0.892,316.17,51,4
1.4,1437.15,0.85,318.94,51,4
1.5,1430.32,0.909,322.21,51,4
1.6,1428.43,1.341,326.26,49,4
1.7,1454.9,0.999,329.66,48,4
1.8,1476.49,1.168,333.26,48,4
1.9,1468.85,0.835,336.97,50,4
2.0,1464.81,1.222,341.45,51,4
2.1,1485.48,1.22,343.74,50,4
2.2,1514.14,1.207,348.34,47,4
2.3,1546.47,0.963,352.68,48,4
2.4,1538.7,1.464,356.1,47,4
2.5,1573.06,1.568,351.23,48,4
2.6,1596.48,1.424,356.09,48,4
2.7,1619.18,0.898,359.1,52,4
2.8,1639.67,1.233,354.6,49,4
2.9,1630.76,0.974,356.76,46,4
3.0,1649.02,1.02,361.59,51,4
3.1,1669.97,1.294,365.85,50,4
3.2,1659.16,1.267,369.62,47,4
3.3,1670.23,1.379,365.61,50,4
3.4,1665.59,1.528,368.05,48,4
3.5,1658.54,1.165,371.26,48,4
3.6,1657.08,0.868,375.47,49,4
3.7,1638.47,1.045,378.84,46,4
3.8,1663.17,1.171,382.55,51,4
3.9,1685.03,1.146,384.81,49,4
4.0,1673.37,1.25,386.86,47,4
4.1,1664.7,1.157,390.31,49,4
4.2,1648.31,1.065,384.42,50,4
4.3,1626.8,0.765,387.18,50,4
4.4,1651.6,1.056,392.18,47,4
4.5,1669.55,0.752,396.93,51,4
4.6,1694.53,1.32,401.46,48,4
4.7,1671.28,0.87,403.5,51,4
4.8,1678.22,0.925,406.54,48,4
4.9,1652.21,1.278,410.43,49,4
5.0,1630.33,0.607,414.84,51,4
5.1,1637.49,0.705,419.94,48,4
5.2,1624.6,1.009,416.86,46,4
5.3,1620.65,0.626,421.05,51,4
5.4,1640.98,0.672,415.73,47,4
5.5,1613.0,0.629,417.92,50,4
5.6,1623.0,0.469,420.48,50,4
5.7,1619.68,0.437,415.48,48,4
5.8,1630.08,0.503,417.65,52,4
5.9,1608.15,0.973,420.63,51,4
6.0,1579.06,0.461,424.52,47,4
6.1,1567.67,0.79,426.99,48,4
6.2,1573.82,0.953,430.52,50,4
6.3,1568.81,0.3,433.32,49,4
6.4,1586.73,0.624,435.21,49,4
6.5,1595.04,0.226,440.35,50,4
6.6,1606.04,0.287,443.77,51,4
6.7,1583.69,0.443,445.59,48,4
6.8,1567.82,0.422,448.13,52,4
6.9,1540.78,0.202,451.47,46,4
7.0,1546.32,0.514,455.62,46,4
7.1,1542.06,0.717,458.4,48,4
7.2,1551.19,0.294,461.61,47,4
7.3,1526.88,0.5,464.86,48,4
7.4,1547.86,0.454,469.38,52,4
7.5,1559.37,0.117,473.33,46,4
7.6,1587.57,0.258,476.48,52,4
7.7,1577.85,0.441,481.2,49,4
7.8,1595.71,0.105,483.41,46,4
7.9,1615.07,0.305,487.75,52,4
8.0,1622.47,0.559,483.71,47,4
8.1,1640.68,0.1,488.58,52,4
8.2,1628.09,0.157,492.18,51,4
8.3,1608.08,0.136,496.32,49,4
8.4,1595.04,0.1,493.64,51,4
8.5,1586.81,0.342,497.41,46,4
8.6,1590.89,0.1,501.66,48,4
8.7,1622.23,0.288,506.46,52,4
8.8,1630.76,0.1,511.13,52,4
8.9,1632.8,0.165,513.59,47,4
9.0,1668.54,0.565,516.6,48,4
9.1,1702.03,0.1,520.59,46,4
9.2,1698.93,0.421,522.59,46,4
9.3,1726.25,0.511,519.13,49,4
9.4,1742.03,0.551,515.28,52,4
9.5,1730.95,0.42,517.1,51,4
9.6,1737.42,0.499,514.64,52,4
9.7,1754.96,0.655,517.14,47,4
9.8,1769.18,0.1,519.99,48,4
